,model,dimension,sample_complexity,train_error,test_error,lambda,seeds,std_et,std_eg,m,m_std,q,q_std
0,hmm_teacher,1000,0.25,0.0,0.40659999999999996,0.01,10,0.0,0.01520657752421628,0.5817368925902804,0.04855547629830225,4.253365163283216,0.064955054306447
1,hmm_teacher,1000,0.5,0.0,0.37029999999999996,0.01,10,0.0,0.008013114251026257,1.0212549363614083,0.04970883572922991,7.201291921264884,0.07226574857786935
2,hmm_teacher,1000,0.75,0.0018,0.3487333333333333,0.01,10,0.001521694961401777,0.013738672101448206,1.2920589094917783,0.08086099708154311,8.688261789591495,0.25241351644871324
3,hmm_teacher,1000,1.0,0.013500000000000002,0.33785000000000004,0.01,10,0.0027477263328068175,0.012460036115517475,1.4234047542354755,0.09116853352665152,9.02719271902772,0.4458817109738018
4,hmm_teacher,1000,1.5,0.04363333333333334,0.31306666666666666,0.01,10,0.00541489714686356,0.006040235462665715,1.6810243017144841,0.06168800501470946,9.421588590773661,0.536863066886423
5,hmm_teacher,1000,2.0,0.0749,0.2912,0.01,10,0.0074625732827222555,0.00994786409235671,1.80396143006324,0.11292273292893093,8.97972014369454,0.49757831020417154
6,hmm_teacher,1000,2.5,0.09628,0.28564,0.01,10,0.003679347768287201,0.006937319367017775,1.8236848665270788,0.08087979518230684,8.503021381900032,0.30961599181417765
